tick,duration_ns
1243,11520327
1244,5529147
1245,5534345
1246,4975107
1247,4823742
1248,5615843
1249,8145228
1250,2894158
1251,5391576
1252,5239543
1253,5684419
1254,5300536
1255,4739867
1256,5471826
1257,6767333
1258,6046667
1259,5211607
1260,6185348
1261,4304190
1262,5564791
1263,7117322
1264,6554892
1265,5234497
1266,1761565
1267,4366435
1268,5319951
1269,1825524
1270,6594385
1271,6905986
1272,2890827
1273,7608842
1274,5018693
1275,4986642
1276,4685109
1277,4954086
1278,6551774
1279,6632886
1280,4668865
1281,5794721
1282,3705654
1283,6925766
1284,5185843
1285,4366795
1286,5933709
1287,6333339
1288,4661001
1289,4870787
1290,5005270
1291,9126570
1292,4426570
1293,3715736
1294,5262956
1295,5758530
1296,1606341
1297,6204838
1298,5875147
1299,9771051
1300,8121060
1301,5827451
1302,4279246
1303,5858554
1304,3851602
1305,7822401
1306,8917326
1307,6682403
1308,5859757
1309,4936069
1310,4773480
1311,5223429
1312,5134892
1313,4971354
1314,3263111
1315,5420493
1316,6162168
1317,5211831
1318,6876723
1319,4351597
1320,13981086
1321,7122769
1322,12266422
1323,5435959
1324,5726449
1325,1528893
1326,5314836
1327,10157733
1328,5959547
1329,5400670
1330,3872115
1331,5255220
1332,8639060
1333,5647742
1334,5792209
1335,6518723
1336,2662522
1337,13991715
1338,5125680
1339,5080572
1340,4976322
1341,10768645
1342,6913989
1343,5055991
1344,5983705
1345,4454965
1346,4138132
1347,4759149
1348,2486926
1349,2062303
1350,3856765
1351,5960650
1352,6590793
1353,3935238
1354,1998764
1355,5364551
1356,4643420
1357,1927577
1358,1948260
1359,5028633
1360,3668228
1361,2148459
1362,6192111
1363,6653677
1364,3919403
1365,4002996
1366,2044381
1367,4266794
1368,4019486
1369,3744672
1370,3832791
1371,3962902
1372,2913045
1373,5301169
1374,4253918
1375,3073611
1376,3267349
1377,3970156
1378,2110352
1379,2729202
1380,5231866
1381,4072725
1382,1899701
1383,7903771
1384,3935840
1385,3922259
1386,1996888
1387,4817556
1388,3902852
1389,2886197
1390,5302625
1391,4870735
1392,6439177
1393,4922801
1394,9858333
1395,1990484
1396,5446075
1397,4056617
1398,5208081
1399,3991174
1400,3008284
1401,3927146
1402,2619852
1403,1726105
1404,4089586
1405,4212179
1406,2863428
1407,1873922
1408,3762489
1409,3747618
1410,4453183
1411,2763524
1412,1785337
1413,3761579
1414,3725394
1415,3879262
1416,4192411
1417,5078284
1418,3805677
1419,2765112
1420,5046664
1421,4178176
1422,16137967
1423,3753071
1424,3589040
1425,2998909
1426,2796720
1427,3850314
1428,6587376
1429,4435081
1430,3771139
1431,3660576
1432,4287808
1433,4465725
1434,3893853
1435,3972130
1436,4403657
1437,3351430
1438,4069876
1439,3392636
1440,2377592
1441,1946740
1442,3984531
1443,8257530
1444,1797238
1445,2563196
1446,4038379
1447,2602983
1448,2683228
1449,1870432
1450,8658582
1451,5664996
1452,3245095
1453,6387138
1454,4117708
1455,4045076
1456,2733997
1457,4332833
1458,3061870
1459,3703415
1460,2012696
1461,4308038
1462,2808455
1463,3859432
1464,1919409
1465,4039844
1466,2699844
1467,3286799
1468,2037429
1469,3845645
1470,2712836
1471,4162445
1472,4035118
1473,3955742
1474,4410610
1475,4322396
1476,3758789
1477,11170801
1478,2901761
1479,4110745
1480,3835831
1481,3900795
1482,4216397
1483,3897546
1484,4152395
1485,6853861
1486,3899060
1487,4024798
1488,4433291
1489,3952802
1490,2787154
1491,3792046
1492,4201228
1493,2232336
1494,3813175
1495,3596453
1496,4043803
1497,2909830
1498,5573430
1499,1896409
1500,4094082
1501,4218301
1502,4232453
