tick,duration_ns
258,2792402
259,4224180
260,2414757
261,4535989
262,2330250
263,2806494
264,3102345
265,2388861
266,1175628
267,12693602
268,2577743
269,2723479
270,5342496
271,4744869
272,3326054
273,3908163
274,4547526
275,3316428
276,2861737
277,2424522
278,5548889
279,3660450
280,18028272
281,3854075
282,3613494
283,4065845
284,3651552
285,2668035
286,3785621
287,2320724
288,3857555
289,5277384
290,5737709
291,4415070
292,3718563
293,6179943
294,4830352
295,13515872
296,4110467
297,4602887
298,1536874
299,4430481
300,7203653
301,4037909
302,3323314
303,5952148
304,4700294
305,3550837
306,3814825
307,2354969
308,3458472
309,1137173
310,3421849
311,2178383
312,5844591
313,2607431
314,6008143
315,3750365
316,3467774
317,3760113
318,3374367
319,3704103
320,1467780
321,4256553
322,4127236
323,1207948
324,4953234
325,4124359
326,3432681
327,4008678
328,1756703
329,2774660
330,1898539
331,4823037
332,5354728
333,4423044
334,8647428
335,3497379
336,3393383
337,4752015
338,4094759
339,3387051
340,5734621
341,2726922
342,2268173
343,2250867
344,2283480
345,1424020
346,2614914
347,2258199
348,1432887
349,4370562
350,1277199
351,2212962
352,1831074
353,3229114
354,6431402
355,4967530
356,2503912
357,5944150
358,2598056
359,5499097
360,3953040
361,3877929
362,1692268
363,4442809
364,5891234
365,3338020
366,3935991
367,3111778
368,9781583
369,4818375
370,2842443
371,1199762
372,1213862
373,1211348
374,2132406
375,3947233
376,5696720
377,4484001
378,3722503
379,6118697
380,4414113
381,3684896
382,3636943
383,3115653
384,2524363
385,2423475
386,2294846
387,2141308
388,3549040
389,3692567
390,3570770
391,3809012
392,3647416
393,8816329
394,1272547
395,3710822
396,3026205
397,2462515
398,2306358
399,2017470
400,1843197
401,1667842
402,4603748
403,2530652
404,2097120
405,4225281
406,9580733
407,4737075
408,4854686
409,2045200
410,1904370
411,3371977
412,7679777
413,4419205
414,4095913
415,4692261
416,2698206
417,5211811
418,5350270
419,3947661
420,1468622
421,2665667
422,1605866
423,1225629
424,2615173
425,2298481
426,1509543
427,1979476
428,2396564
429,2295066
430,1593150
431,2339630
432,2243810
433,1451992
434,2338394
435,2218706
436,2281216
437,2289826
438,2982265
439,1595318
440,1590481
441,1511636
