tick,duration_ns
923,4756039
924,4729968
925,4628921
926,3256431
927,3185839
928,5567392
929,4299245
930,2581321
931,7078894
932,2509022
933,2186498
934,5218374
935,3764800
936,3645699
937,2776813
938,10669507
939,4191113
940,4276810
941,4257710
942,3085285
943,2657792
944,2784454
945,2470303
946,4889732
947,2493742
948,3666607
949,2354059
950,3749319
951,7353399
952,2771192
953,5055179
954,2551522
955,3171448
956,2740281
957,7663386
958,3809092
959,2956085
960,4245883
961,2223969
962,2490628
963,5534562
964,3569644
965,2898064
966,2736521
967,2622595
968,2620892
969,2868420
970,6101098
971,3645511
972,3220945
973,3889548
974,2505298
975,5039521
976,2818124
977,4214570
978,3163079
979,5244419
980,3611663
981,6862711
982,2050419
983,3173090
984,5412577
985,3137127
986,2484698
987,12127116
988,4038655
989,3635106
990,5116828
991,2605637
992,2908202
993,3668774
994,3225144
995,7207136
996,3582671
997,2720097
998,5206887
999,2990630
1000,2634012
1001,2107888
1002,2178928
1003,2071240
1004,3922926
1005,3857742
1006,2895950
1007,3105589
1008,4610351
1009,5144082
1010,3268917
1011,6587992
1012,4970736
1013,5735446
1014,2904361
1015,3931358
1016,3073493
1017,5222758
1018,3241789
1019,5210847
1020,2512951
1021,3266401
1022,2850009
1023,5536083
1024,3963032
1025,5095952
1026,3728040
1027,3591958
1028,2539011
1029,4849121
1030,6165520
1031,4469216
1032,3214128
1033,16064621
1034,2448765
1035,4603675
1036,5127309
1037,5314926
1038,5846433
1039,3590005
1040,2700829
1041,2476269
1042,4064213
1043,3310977
1044,4051724
1045,2387618
1046,3806144
1047,5238265
1048,4647447
1049,2572294
1050,2666628
1051,2019252
1052,2270561
1053,3614613
1054,2608211
1055,2453570
1056,2219954
1057,3153400
1058,3477395
1059,6320624
1060,2799570
1061,4138737
1062,2951284
1063,2678684
1064,2840504
1065,5224243
1066,5892927
1067,2715897
1068,4128942
1069,4996348
1070,3160081
1071,2328511
1072,2287004
1073,2297129
1074,3229725
1075,2502221
1076,3319542
1077,2598486
1078,5605693
1079,3080308
1080,2610201
1081,2735110
1082,2386631
1083,5270354
1084,5919765
1085,2871417
1086,2849321
1087,3087931
1088,2559310
1089,5610145
1090,5053012
1091,6859551
1092,2834269
1093,3119283
1094,2483872
1095,3234636
1096,2272597
1097,2335815
1098,4740875
1099,4263665
1100,2527758
1101,2571971
1102,2548867
1103,2097606
1104,4664938
1105,2085883
1106,4221819
1107,4335045
1108,2663277
1109,11083394
1110,5848651
1111,2267184
1112,2319029
1113,2455565
1114,2113018
1115,2019932
1116,2337826
1117,4013061
1118,2064060
1119,2504721
1120,10961329
1121,2481625
1122,3740001
1123,3336294
1124,2666613
1125,3887636
1126,2330587
1127,2471544
1128,2533060
1129,2677045
1130,2113944
1131,2860032
1132,3813743
1133,3059259
1134,3981708
1135,3154445
1136,2705261
1137,5755187
1138,2644105
1139,3956509
1140,5113187
1141,5620530
1142,3560526
1143,4495691
1144,4645481
1145,4300895
1146,4972764
1147,4611757
1148,2737776
1149,20449244
1150,2779457
1151,2293583
1152,2579688
1153,3178109
1154,2236110
1155,2281873
1156,2265944
1157,3855508
1158,2215858
1159,5363294
1160,6075774
1161,3802669
1162,3196005
1163,2215357
1164,2642785
1165,2254265
1166,2121323
1167,2221212
1168,4336323
1169,1978835
1170,2035756
1171,1938103
1172,2793687
1173,3142421
1174,2281589
1175,5604372
1176,3342895
1177,2495785
1178,2472707
1179,3861485
1180,6538773
1181,2561832
1182,1977849
1183,3101017
1184,6803029
1185,6772874
1186,4012989
1187,3246140
1188,2381077
1189,2620867
1190,2722420
1191,2723981
1192,2364040
1193,2424726
1194,3553806
1195,2888695
1196,2421371
1197,8287992
1198,4302083
1199,3526080
1200,7100365
1201,3113085
1202,2705853
1203,3444724
1204,2729297
1205,2976471
1206,2512939
1207,4121533
1208,3316649
1209,6196110
1210,2922401
1211,3255000
1212,2850926
1213,2967139
1214,3675214
1215,7049273
1216,3025623
1217,7501721
1218,6935638
1219,2944150
1220,2676552
1221,4213551
1222,3084114
1223,3002446
1224,2827393
1225,2553208
1226,3245909
1227,2860633
1228,4563133
1229,2720819
1230,3593900
1231,2617282
1232,3018608
1233,3041727
1234,5660619
1235,2684164
1236,3381566
1237,3818495
1238,4375690
1239,4534565
1240,3285766
1241,2972822
1242,4385234
1243,4278416
1244,3377026
1245,3181172
1246,3125366
1247,3647684
1248,2656819
1249,2530319
1250,4218107
1251,3513050
1252,3388054
1253,4314978
1254,2262949
1255,3638402
1256,2538421
1257,6573098
1258,6469267
1259,2294146
1260,4100390
1261,6499290
1262,2788288
1263,3101015
1264,7166514
1265,3126883
1266,5359727
1267,2931634
1268,3149037
1269,3506272
1270,4172612
1271,2756387
1272,3912494
1273,3693123
1274,4535557
1275,4188261
1276,2346865
1277,2574817
1278,3863635
1279,3967674
1280,2665118
1281,2330781
1282,2768891
1283,4593530
1284,3554618
1285,8236729
1286,4889173
1287,2484429
1288,2503389
1289,2350759
1290,3081280
1291,8142022
1292,5347958
1293,4159459
1294,4468594
1295,4606323
1296,2479376
1297,3140487
1298,3285978
1299,3234484
1300,2203845
1301,2631356
1302,2263585
1303,4224396
1304,7393385
1305,6268848
1306,5523852
1307,6016173
1308,5363317
1309,2294623
1310,3907240
1311,5659312
1312,3106661
1313,2151364
1314,4089494
1315,3343935
1316,4855601
1317,4645033
1318,3943544
1319,2623248
1320,10007761
1321,6108727
1322,4924076
1323,3949510
1324,7123958
1325,5673808
1326,5640406
1327,5547207
1328,5315576
1329,2412433
1330,3735459
1331,3352600
1332,4557197
1333,5314578
1334,2363958
1335,3248902
1336,4378662
1337,3004053
1338,4841749
1339,3249216
1340,4643886
1341,6064862
1342,7884651
1343,4704695
1344,6356205
