tick,duration_ns
517,1776197
518,2645710
519,4104732
520,3438388
521,2738183
522,2722328
523,1585477
524,4139829
525,2818839
526,2952982
527,2638458
528,2878847
529,4801297
530,3867760
531,3718637
532,1487739
533,1814319
534,2065240
535,2916885
536,2779067
537,1810370
538,2878572
539,2063537
540,2856559
541,2214220
542,5445085
543,4416738
544,2761753
545,2644428
546,3122869
547,2583113
548,2704716
549,2907181
550,1383988
551,3078860
552,2918123
553,2276153
554,3309067
555,2841176
556,3282286
557,3490627
558,2691137
559,2192264
560,2655265
561,2933834
562,2742093
563,4055108
564,3174039
565,3038888
566,1671554
567,2864592
568,3003009
569,13544704
570,4015948
571,4050377
572,3061282
573,1892841
574,1976092
575,1267445
576,1380552
577,2527102
578,4236378
579,5048708
580,2627986
581,3054198
582,1908284
583,1358676
584,2454531
585,2431619
586,2826126
587,2363913
588,2553200
589,3015240
590,1987955
591,2015115
592,4141696
593,2075931
594,1747888
595,5161062
596,2051996
597,2562581
598,5677597
599,2381903
600,3968546
601,5828621
602,2876723
603,2730347
604,3858810
605,2552118
606,2516904
607,2303247
608,1939189
609,2322789
610,3114327
611,2793828
612,2706219
613,2794876
614,4272498
615,2728830
616,2313072
617,3494571
618,2965931
619,1574810
620,2635038
621,1230012
622,4087678
623,4532034
624,4432793
625,3950092
626,4109092
627,4052002
628,3781691
629,1500910
630,2741084
631,2716503
632,2538716
633,2794723
634,2532040
635,3143230
636,2844805
637,2602440
638,5063313
639,2626803
640,2502628
641,3978528
642,3740546
643,2446547
644,3957873
645,2277268
646,2506256
647,2422941
648,3261269
649,3651252
650,2947216
651,3973953
652,2419354
653,2147334
654,2484463
655,4376899
656,2207531
657,1886239
658,3262266
659,2725750
660,8012391
661,3000340
662,2547785
663,4191057
664,3679974
665,1789158
666,2267253
667,2497654
668,3357191
669,2689496
670,7406589
671,3993896
672,3681669
673,3434476
674,3531685
675,2223164
676,2061096
677,3397859
678,2727150
679,6408191
680,2508596
681,2486721
682,4310947
683,3782941
684,3696818
685,4579070
686,2385723
687,2382589
688,3670873
689,2384293
690,2547617
691,4064043
692,6015691
693,1939627
694,2321394
695,2053628
696,2581919
697,2421213
698,4121644
699,3413689
700,1153722
701,2803323
702,2961802
703,3397101
704,1752111
705,4105554
706,3905798
707,3467027
708,2239923
709,3018008
710,4021668
711,3713669
712,3011145
713,2284977
714,2266368
715,2750330
716,2664760
717,1381390
718,9361749
719,2857355
720,2974872
721,2760492
722,3904191
723,2690751
724,3737464
725,3294245
726,1369893
727,4118501
728,2583772
729,2702663
730,1988467
731,2221614
732,3231843
733,3311088
734,3102698
735,2751224
736,2739179
737,1856453
738,2505355
739,4543776
740,4125636
741,2984969
742,2949027
743,1519844
744,2559172
745,1921162
746,3867992
747,4208229
748,3310132
749,2057861
750,1149586
751,2760026
752,4102884
753,2999529
754,2360142
755,2250090
756,2555228
757,1437035
758,4752550
759,1410061
760,3711257
761,2319036
762,4231622
763,3866981
764,3817673
765,3975607
766,4852364
767,3957968
768,2999971
769,4132803
770,3564692
771,3950926
772,3526516
773,2339137
774,3166928
775,2246054
776,3491314
777,3534712
778,2033594
779,3337599
780,6754592
781,2841238
782,2540757
783,2537796
784,4029919
785,2986609
786,1420631
787,4158928
788,3568823
789,2124194
790,2930080
791,2648549
792,6460189
793,3198496
794,2762742
795,3576362
796,2244038
797,2723192
798,2407002
799,4519073
800,1343405
801,3910635
802,2798020
803,4186390
804,1937544
805,2280368
806,3760958
807,4761044
808,3237455
809,2833627
810,2327748
811,1321566
812,3675245
813,2795860
814,2450969
815,2483196
816,4522167
817,2935068
818,3225559
819,5273180
820,4112161
821,4440084
822,4184377
823,4312729
824,3755976
825,2437358
826,2127102
827,1878852
828,4180069
829,2705373
830,2216433
831,2836527
832,2384326
833,2817208
834,2148673
835,2532729
836,3584219
837,6216267
838,2273569
839,3825704
840,3754077
841,1550344
842,2861791
843,3077016
844,2701419
845,2762990
846,2352647
847,2278504
848,2519204
849,6608693
850,2824348
851,2690360
852,2589121
853,1473043
854,2066126
855,2850330
856,2526160
857,2233054
858,4037473
859,2990236
860,9193035
861,2484188
862,2041395
863,3087254
864,4767835
865,1864996
866,3606458
867,4662445
868,2900884
869,3951592
870,2753675
871,3104783
872,2776218
873,4637867
874,2402853
875,1436644
876,2998468
877,1375380
878,2047751
879,3634788
880,3200129
881,2815894
882,2488313
883,3651211
884,2475676
885,3046980
886,2801522
887,2701068
888,2698348
889,2529713
890,2535908
891,2928324
892,2592789
893,2437510
894,2619561
895,2835107
896,1427792
897,2786284
898,1894873
899,2354737
900,2980230
901,2243934
902,4421020
903,2709802
904,2497451
905,4512047
906,2533075
907,1549830
908,3063963
909,2681241
910,2684913
911,2708059
912,3011222
913,2493905
914,3961329
915,2785045
916,2421017
917,2113076
918,1673922
919,2690153
920,7118991
921,3160830
922,1946054
923,2158433
924,3208677
925,7045050
926,2871627
927,3102392
928,2943984
929,2603349
930,2696733
931,4332177
932,3655207
933,4287033
934,2001173
935,2577326
936,1878301
937,1545018
938,3258528
939,2843729
940,2860178
941,4528816
942,3768320
943,4266342
944,2328359
945,4671773
946,4184403
947,2604304
948,5915198
949,3581552
950,2665419
951,3953615
952,2518753
953,2370150
954,2511316
955,3948341
956,3573946
957,3764731
958,3795287
959,4202843
960,2736116
961,4239653
962,3145054
963,5972241
964,4381345
965,2490074
966,2609269
967,2974956
968,2704303
969,2906281
970,2392336
971,4447483
972,3979033
973,4217565
974,4112414
975,4056357
976,4006905
977,2731316
978,2547956
979,2545172
980,2852203
981,3041341
982,3463716
983,2229118
984,4813171
985,4194880
986,3842307
987,2817244
988,2986575
989,3986936
990,3889340
991,3017132
992,3227032
993,2008510
994,6799299
995,1246496
996,2668860
997,1959474
998,1917332
999,2956880
1000,4393893
1001,2780124
1002,2930515
1003,4579090
1004,4297421
1005,4576231
1006,4198510
1007,3020357
1008,2716168
1009,3453924
1010,2614210
1011,2869439
1012,7131310
1013,2981451
1014,1474693
1015,2753911
1016,2550329
1017,2932102
1018,2442719
1019,4594359
1020,3539205
1021,1811767
1022,3293742
1023,2729167
1024,5159462
1025,2252698
1026,4155679
1027,3139397
1028,3178202
1029,4265258
1030,2659846
1031,2341492
1032,2055882
1033,2234799
1034,1523700
1035,2979848
1036,1811486
1037,1524646
1038,1671978
1039,3758863
1040,2922503
1041,3334901
1042,5232173
1043,3626358
1044,4684114
1045,2055804
1046,1465108
1047,3705249
1048,2600852
1049,2769330
1050,2861950
1051,2811966
1052,2634463
1053,2515706
1054,2642130
1055,2663948
1056,2860736
1057,2713872
1058,2669243
1059,3099571
1060,3018232
1061,3113824
1062,4268016
1063,2774117
1064,4425643
1065,3098384
1066,2440793
1067,1983242
1068,5382815
1069,3398020
1070,2672557
1071,3220777
1072,2372351
1073,1987332
1074,1509883
1075,9831046
1076,1359646
1077,2786457
1078,2823459
1079,2815804
1080,4116857
